Metallica,Master Of Puppets
Iron Maiden,Hallowed Be Thy Name
Megadeth,Holy Wars...The Punishment Due
Metallica,One
Iron Maiden,The Trooper
Black Sabbath,Iron Man
Black Sabbath,Paranoid
Metallica,Enter Sandman
Judas Priest,Painkiller
System of a Down,Chop Suey!
Cannibal Corpse,Unleashing the Bloodthirsty
Anthrax,Burst
Slayer,Angel Of Death
Black Sabbath,War Pigs
Metallica,Fade To Black
Dio,Holy Diver
Pantera,Cowboys From Hell
Ozzy Osbourne,Crazy Train
Pantera,Cemetery Gates
Metallica,The Four Horsemen
Moby,Go
Azzido Da Bass,Dooms Night
Daft Punk,Get Lucky
Underworld,Shudder / King Of Snake (Live)
Phuture,Acid Tracks
Justice,Waters Of Nazareth
The Chemical Brothers,Block Rockin' Beats
Plastikman,Spastik
New Order,Blue Monday
Skrillex,Scary Monsters And Nice Sprites
Marshall Jefferson,Move Your Body
Stardust,Music Sounds Better With You
Paperclip People,Throw
Inner City,Big Fun
Underworld,Born Slippy - NUXX
Second Phase,Mentasm
Cybotron,Clear
Hardrive,Deep Inside
Orbital,Chime
Rhythim Is Rhythim,Strings Of Life
Louis Armstrong,What a Wonderful World
Dave Brubeck,Take Five
John Coltrane,A Love Supreme Part I: Acknowledgement
Dave Brubeck,My Favorite Things
Kenny Burrell,All Blues
Maynard Ferguson,Birdland
Nina Simone,Strange Fruit
Miles Davis,So What
Hermao Feriera,Song For My Father
Benny Goodman,Sing Sing Sing
Nina Simone,Feeling Good
Amy Winehouse,You Know I'm No Good
Marian McPartland,My Funny Valentine
Gladys Knight,Since I Fell For You
Dave Brubeck,Take the 'A' Train
Johnny Hartman,Lush Life
Billie Holiday,God Bless the Child
Ella Fitzgerald,How High the Moon
Etta James,At Last
Peggy Lee,Fever
Mariah Carey,Fantasy
Usher,Climax
Ghost Town DJ's,My Boo
Erykah Badu,On & On
Adina Howard,Freak Like Me
Miguel,Adorn
Lumidee,NEVER LEAVE YOU (Remix)
Next,Too Close
Mary J. Blige,Real Love
Kelis,Milkshake
Ms. Lauryn Hill,Doo Wop
Destiny's Child,Survivor
Montell Jordan,This Is How We Do It
Aaliyah,Are You That Somebody
D'Angelo,Untitled (How Does It Feel)
TLC,Waterfalls
Ginuwine,Pony
R. Kelly,Bump N' Grind
Bell Biv DeVoe,Poison
Blackstreet,No Diggity
BACH,"Suite No. 1 in G Major, BWV 1007: IV. Sarabande"
Beethoven Consort,Beethoven : Symphony No. 5
Franz Schubert,"Du bist die Ruh, Op. 59 No. 3, D. 776"
Johannes Brahms,"Piano Quartet No. 1 in G Minor, Op. 25: III. Andante con moto - Animato"
Beethoven & DSI,Moonlight Sonata
Bizet,"Seguidiglla From The Opera ""Carmen"""
Richard Strauss,"Also sprach Zarathustra, Op.30"
Sergei Rachmaninoff,"Piano Concerto No. 2 in C Minor, Op. 18"
Aaron Copland,Appalachian Spring
Ann Southam,Glass Houses No. 11
Johann Sebastian Bach,Toccata and Fugue in D Minor
Ravel,Bolero
Wolfgang Amadeus Mozart,Eine Kleine Nachtmusik
Carl Orff,O Fortuna (Carmina Burana)
Richard Wagner,The Ride Of The Valkyries
Ludwig van Beethoven,Ode to Joy (Instrumental)
Antonio Vivaldi,"Spring, Largo"
Johann Pachelbel,Canon in D major
Rossini,William Tell Overture
Charles Gounod,Ave Maria
