Lana Del Rey,Summertime Sadness,0
Katy Perry,Roar,3
Radiohead,Karma Police,1
Daft Punk,Get Lucky,1
Justin Timberlake,Take Back the Night,2
Jay-Z,Holy Grail,4
Des'ree,I'm Kissing You,0
One Direction,Best Song Ever,1
Cyndi Lauper,Time After Time,0
Lady Gaga,Applause,3
The Bangles,Eternal Flame,4
Gloria Estefan,Here We Are,1
Barry Manilow,Mandy,3
Andy Williams,Can't Take My Eyes off You,3
Marvin Gaye,Sexual Healing,2
Flo Rida,Whistle,3
Demi Lovato,Give Your Heart A Break,0
P!nk,Blow Me (One Last Kiss),1
Ellie Goulding,Lights,2
Neon Trees,Everybody Talks,3
Katy Perry,Wide Awake,2
David Guetta,Titanium,3
Maroon 5,One More Night - Commentary,0
Owl City,Good Time,1
Justin Bieber,As Long As You Love Me,0
Taylor Swift,We Are Never Ever Getting Back Together,2
Fun,Some Nights,2
Robin Thicke,Blurred Lines,1
Maroon 5,Love Somebody,0
Zedd,Clarity,1
Imagine Dragons,Radioactive,1
Capital Cities,Safe And Sound,4
Calvin Harris,I Need Your Love,4
Macklemore & Ryan Lewis,Same Love,0
Anna Kendrick,Cups,0
Miley Cyrus,We Can't Stop,4
Bruno Mars,Treasure,2
Rihanna,Where Have You Been,4
Cher Lloyd,Want U Back (Acoustic),0
Maroon 5,Payphone,2
Nicki Minaj,Pound The Alarm,1
Calvin Harris,Let's Go,1
Alex Clare,Too Close,4
Chris Brown,Don't Wake Me Up,3
Jason Mraz,I Won't Give Up,3
Taylor Swift,Shake It Off,1
Maroon 5,Animals,3
Meghan Trainor,All About That Bass,4
Tove Lo,Habits,1
Ed Sheeran,Don't,0
Taylor Swift,Blank Space,3
Sam Smith,I'm Not The Only One,3
Jessie J,Bang Bang,4
Mr. Probz,Waves,2
Calvin Harris,Blame,1
Hozier,Take Me To Church,1
Nick Jonas,Jealous,1
Nico & Vinz,In Your Arms,2
Fall Out Boy,Centuries,2
Alicia Keys,If I Ain't Got You,1
John Legend,Stay with You,4
Westlife,You Are So Beautiful (To Me),2
Chris Brown,With You,1
Alexandra Burke,The Silence,0
Will Young,All Time Love,2
Shakira,UNDERNEATH YOUR CLOTHES (REMIX),2
Jordin Sparks,No Air,0
Matt Cardle,The First Time Ever I Saw Your Face,2
Daniel Merriweather,Red,3
Newton Faulkner,Dream Catch Me,4
Finley Quaye,Your Love Gets Sweeter,1
Sara Bareilles,Many the Miles,3
Anthony Hamilton,Best of Me,0
Maxwell,Ascension,1
Angie Stone,Wish I Didn't Miss You,4
Natasha Bedingfield,Soulmate,2
The Calling,Wherever You Will Go,4
Backstreet Boys,As Long as You Love Me,2
Taylor Swift,Wildest Dreams,3
Adele,Skyfall,2
Savage Garden,Truly Madly Deeply,2
Anirudh Ravichander,Aaluma Doluma,2
Harris Jayaraj,"Adhaaru Adhaaru (From ""Yennai Arindhaal"")",2
Dolly Parton,I Will Always Love You,3
Bob Dylan,Make You Feel My Love,1
Elvis Presley,Love Me Tender - Love Me Tender,3
Harry Nilsson,Without You,4
John Denver,Annie's Song,1
Toto,I Won't Hold You Back,2
REO Speedwagon,Keep On Loving You,2
Lonestar,Amazed,2
Jennifer Rush,The Power Of Love,1
Bonnie Tyler,Total Eclipse of the Heart,3
Eric Carmen,All By Myself,2
Michael Bolton,How Am I Supposed to Live Without You (Bonus Track),1
Curtis Stigers,You're All That Matters to Me,0
Daryl Hall,Sara Smile,4
Terence Trent D'Arby,Sign Your Name,2
The Weeknd,Can't Feel My Face,2
Coldplay,Viva La Vida,2
